text,created_time,hashtags,shareCount,mentions,commentCount,playCount,collectCount,diggCount
I will be taste testing that bread!! #glutenfree #coeliac #mands #marksandspencer #foodshop #haul #fyp #celiac ,29/05/2025,"glutenfree, coeliac, mands, marksandspencer, foodshop, haul, fyp, celiac",0,,3,708,5,70
"Seriously though, what do @M&S food UK official put in their food because…take allll my money  #marksandspencer #marksandspencerfood #mands #bigdaddy #chocolate #tastetest #foodie #foodreview #fyp #fup #fyou #fory #fu #foryoypage ",27/05/2025,"marksandspencer, marksandspencerfood, mands, bigdaddy, chocolate, tastetest, foodie, foodreview, fyp, fup, fyou, fory, fu, foryoypage",1,@M&S food UK official,6,574,4,54
The hunt for the perfect wedding guest bag continues! @Marks & Spencer ✨ #fyp #marksandspencer #bag #uk #weddingguest ,29/05/2025,"fyp, marksandspencer, bag, uk, weddingguest",3,@Marks & Spencer,0,1691,6,64
New #accessories in @Marks & Spencer ✨  #shopping #summer #fashion #earrings #hairclips #clawclips #marksandspencer #uk #fyp ,29/05/2025,"accessories, shopping, summer, fashion, earrings, hairclips, clawclips, marksandspencer, uk, fyp",0,@Marks & Spencer,0,258,0,18
guys we didn’t know how good we had it with the 75p sandwiches  #mands #bargain #bargainshopping #marksandspencer @Marks and Spencers ,29/05/2025,"mands, bargain, bargainshopping, marksandspencer",278,@Marks and Spencers,28,29200,117,3084
"The perfect summer fragrances for your hols are HERE! ✨ “After Sun Snooze”, “Salty Skin” & “Cool Breeze” - you don’t want to miss out on these limited edition gorgeous products. ☁️ #marksandspencer #mands #ms #summer #newin #trending #holiday #vacation #newperfume #newfragrance #summerfragrance ",27/05/2025,"marksandspencer, mands, ms, summer, newin, trending, holiday, vacation, newperfume, newfragrance, summerfragrance",463,,6,32200,171,894
We’re back with another M&as vlogging trip Let’s see what’s new in- let’s just say the summer accessories are poppinggg girls #marksandspencer #mands #summeraccessories #marksandspencerclothing #summerhaul #comeshoppingwithme ,29/05/2025,"marksandspencer, mands, summeraccessories, marksandspencerclothing, summerhaul, comeshoppingwithme",2,,14,763,3,80
My M&S Supermarket Recommendations ✨ #foodie #foodreviewer #food #foodtok #ukfood #foodshop #recommendations #marksandspencer #mands ,15/09/2024,"foodie, foodreviewer, food, foodtok, ukfood, foodshop, recommendations, marksandspencer, mands",1718,,275,746900,4898,36900
summer diet going well #marksandspencer #cookies @emily @ria ghode @Rebecca whisker @shreya ,27/05/2025,"marksandspencer, cookies",99,"@emily, @ria ghode, @Rebecca whisker, @shreya",9,8099,13,886
I FEEL CHEATED AS THIS WAS ACTUALLY AVERAGE  Marks & Spencer is usually the Daddy when it comes to food  #sandwich #review #marksandspencer ,28/05/2025,"sandwich, review, marksandspencer",0,,6,801,0,31
What to buy in Marks & Spencer’s 1minute fashion! #1minutefashion #fashioncontent #marksandspencer ,03/04/2025,"1minutefashion, fashioncontent, marksandspencer",481,,178,173600,951,3130
@marksandspencer_dais giving black and white a fresh perspective.,28/05/2025,,1,,0,1040,2,28
@Marks & Spencer I’m obsessed #marksandspencer #ootdinspo #outfitinspo #marksandspencerclothing #hauls ,20/05/2025,"marksandspencer, ootdinspo, outfitinspo, marksandspencerclothing, hauls",36,@Marks & Spencer,26,36500,83,519
Replying to @Ays x I couldn’t get the duck! But here’s everything else in the range reviewed for you ❤️ #foodcritic #foodreview #ukfood #foodtok #sushi #marksandspencer ,24/05/2025,"foodcritic, foodreview, ukfood, foodtok, sushi, marksandspencer",1125,@Ays x,305,614600,1291,31500
The Summer Beauty Bag is BACK!!! In store from June 5th with 11 amazing products inside!! Worth over £220 but yours for just £35 #mands #mandslocal #marksandspencer #beauty #beautyhacks #beautytiktok #beautytoks #beautytip #summerbeauty #beautybag #summer #summervibes #summertime #summerbeauty #mandsyork #york #yorkshire ,29/05/2025,"mands, mandslocal, marksandspencer, beauty, beautyhacks, beautytiktok, beautytoks, beautytip, summerbeauty, beautybag, summer, summervibes, summertime, summerbeauty, mandsyork, york, yorkshire",9,,2,1114,13,38
M&S try on haul part 1 #fyp #haul #tryonhaul #mands #marksandspencer ,23/04/2025,"fyp, haul, tryonhaul, mands, marksandspencer",496,,260,364700,1487,13700
Now I love Marks and Spencer and this shop in Friern Barnet is massive. Come with me and see some interesting things they have this week. @Marks & Spencer  @mandsfriernbarnet  #food #mands #marksandspencer #cakes #pastries ,04/04/2025,"food, mands, marksandspencer, cakes, pastries",3,"@Marks & Spencer, @mandsfriernbarnet",7,3231,12,65
Get you bargains… #fyp #deals #reductions #shoppingaddict #foodtok  ,27/05/2025,"fyp, deals, reductions, shoppingaddict, foodtok",1,,0,1915,0,195
Come with me to @Marks & Spencer to do I think my best try on haul yet  #ad #mymarks #tryonhaul @Marks and Spencer Ireland ,21/05/2025,"ad, mymarks, tryonhaul",17,"@Marks & Spencer, @Marks and Spencer Ireland",16,9957,35,283
"Imagine a kitchen where your countertop is not just a surface but also a fully functional cooking station—with no visible burners or clutter. You place your cookware directly on the countertop, and within seconds, it heats up, allowing you to cook just as you would on a traditional stove. When you lift the cookware and touch the same spot, the surface remains cool, completely safe to the touch. No residual heat, no risk of burns—just a seamless, modern cooking experience. This is the power of Invisacook, an advanced invisible induction cooktop installed beneath the countertop. Using magnetic induction technology, it transfers heat directly to the cookware while keeping the countertop itself unaffected. This means you can cook, move your pots and pans freely, and still use your countertop as a regular workspace when you're done—no bulky appliances, no wasted space. Beyond just functionality, Invisacook redefines kitchen design by offering a sleek, minimalist aesthetic that blends innovation with luxury. This cutting-edge solution gives you more space, more flexibility, and a safer, more elegant way to cook. #invisacook_europe #invisacook #kitchendesign #invisiblecooktop #interiordesign #invisiblecooking #ceramic #ceramiccountertops #ceramiccountertopwithinductionhob #invisibleinduction #invisibleinductioncooking #ceramic12mm #ceramiccountertop #invisibleinductiontehnology #invisibleinductionkitchens #luxurykitchen #luxurykitchendesign  #ceramictable #diningtable #diningtabledesign  #kitchenisland #kitchenislanddesign #kitchenislandwithhob #dekton ",04/04/2025,"invisacook_europe, invisacook, kitchendesign, invisiblecooktop, interiordesign, invisiblecooking, ceramic, ceramiccountertops, ceramiccountertopwithinductionhob, invisibleinduction, invisibleinductioncooking, ceramic12mm, ceramiccountertop, invisibleinductiontehnology, invisibleinductionkitchens, luxurykitchen, luxurykitchendesign, ceramictable, diningtable, diningtabledesign, kitchenisland, kitchenislanddesign, kitchenislandwithhob, dekton",71700,,3201,8000000,49900,318900
"#POV: At me & my brothers house party, some jerks try to start a f!ght with us…(@skyyjade @ΛVI ) #HPSustainableSounds #acting #fyp #fypシ #collab #brothers",17/04/2022,"pov, hpsustainablesounds, acting, fyp, fypシ, collab, brothers",577,"@skyyjade, @ΛVI",1858,2500000,13900,348000
my best friend is finally getting a bike  - - - - #fyp #fypage #foryoupage #foryourpagetiktok #foryourpage #fypシ゚viral #foryoupageofficial #tiktok #motorcycle #motosexual #motorcyclesoftiktok #mototok #motolover #motosport #motogp #biketok #bikecommunity #streetbike #bikes #bikelover #bike ##bikesoftiktok #bikers #biker #bikersoftiktok #bikelife #bikerslife #bikelover #bikerboys #bikeboy #twowheels #2wheels #yamaha #yamahar7 #sportbikes #sportbike #1up5down #moto #ride #riders #riding #ruroc #ride #booktok #booktoker #booktokers #blowthisup #viralvideo #goviral #viralvideos #goviraltiktok #viraltiktok #makemeviral #trend #trending #trend #trending #makemefamous #meme #memes #memestiktok #black #purple #justforfun #justforlaughs #justforyou #forlaughs #forfun #foryou #content #contentcreator #contentcreators #influencer #influencers #whynot #funny #funnyvideos #funnyvideo #laugh #laughter #humor #humortiktok #humour #darkhumour #darkhumor #goofy #lol #memecut #capcut #vroom #vroomvroom #usa #usa_tiktok #usa #usatiktok #unitedstates #america #american #freedom #skit #vid #video #videoviral #accurate #relatable #fuckit #maincharacter #maincharacterenergy #makesomeonesday #makesomeonesmile #passion #hashtag #hashtags #fyppppppppppppppppppppppp #friends #friendship #trust #brother #brothers #lying #men #theboys #fortheboys #ftb #FTB ,22/10/2024,"fyp, fypage, foryoupage, foryourpagetiktok, foryourpage, fypシ゚viral, foryoupageofficial, tiktok, motorcycle, motosexual, motorcyclesoftiktok, mototok, motolover, motosport, motogp, biketok, bikecommunity, streetbike, bikes, bikelover, bike, bikesoftiktok, bikers, biker, bikersoftiktok, bikelife, bikerslife, bikelover, bikerboys, bikeboy, twowheels, 2wheels, yamaha, yamahar7, sportbikes, sportbike, 1up5down, moto, ride, riders, riding, ruroc, ride, booktok, booktoker, booktokers, blowthisup, viralvideo, goviral, viralvideos, goviraltiktok, viraltiktok, makemeviral, trend, trending, trend, trending, makemefamous, meme, memes, memestiktok, black, purple, justforfun, justforlaughs, justforyou, forlaughs, forfun, foryou, content, contentcreator, contentcreators, influencer, influencers, whynot, funny, funnyvideos, funnyvideo, laugh, laughter, humor, humortiktok, humour, darkhumour, darkhumor, goofy, lol, memecut, capcut, vroom, vroomvroom, usa, usa_tiktok, usa, usatiktok, unitedstates, america, american, freedom, skit, vid, video, videoviral, accurate, relatable, fuckit, maincharacter, maincharacterenergy, makesomeonesday, makesomeonesmile, passion, hashtag, hashtags, fyppppppppppppppppppppppp, friends, friendship, trust, brother, brothers, lying, men, theboys, fortheboys, ftb, ftb",221200,,8031,22100000,269300,3100000
"Sharing a few photos of what our pool currently looks like… It’s been covered for nearly 3 years because it’s not functioning, and the inside is completely worn out. Everything would need to be replaced — and in the meantime, it’s become a magnet for water, frogs, snakes , and a major hazard for kids. After lots of thought, we’ve made the tough decision not to restore or replace it right now. It’s just not in the cards — but we do have big plans to reimagine this space into something safer, more functional, and better suited to the season of life we’re in. Also found this gem from 1976 of someone enjoying a floaty in the pool — had to share it before we begin the next chapter in this renovation. What's your guess on what we are going to do?  #backyardmakeover #PoolToPatio #OutdoorLiving #HomeRenovation #BeforeAndAfter #FunctionalDesign #DesigningForLife #renovationplans #theforgehouse #pool #landscape #landscapes #stone #pa #before #home #homeliving #outdoor #outdoordesign",28/05/2025,"backyardmakeover, pooltopatio, outdoorliving, homerenovation, beforeandafter, functionaldesign, designingforlife, renovationplans, theforgehouse, pool, landscape, landscapes, stone, pa, before, home, homeliving, outdoor, outdoordesign",1,,18,5641,1,530
China  - Guys this is not my political opinion and just for entertainment purposes. #fyp #china #edit #beijing #xijingping #country #chinese #shanghai #economy #growth ,26/04/2025,"fyp, china, edit, beijing, xijingping, country, chinese, shanghai, economy, growth",37800,,12300,5700000,91800,726500
its just not that serious and my girls know that #school #biology ,03/10/2024,"school, biology",60500,,1267,2300000,20600,506700
"#PARKJIHOON - HAPPY BIRTHDAY! 00:00  ~ Dear Jihoon, this edit is not perfect to tell you that this is my gift for you, but i don't have anything better. By this edit i wanted to thank you beacuse you saved me... in time when i didn't have anyone you came in and make me postitive... you have that aura that no one else have. You're kindest person i ever met, not just kind, funny, cool, cute, optimistic person. Your smile makes me happy and i want to smile. I love you  so much by my whole heart. I hope that i would never stop loving you and that i'll stay by your side forever. Please never stop your carrier and never stop smiling.. if the world would be against you i would stay by your side. Never stop smiling! :) I really love you  I hope i'll celebrate your next birthday with you too!  // @0529.jihoon.official #parkjihoon #parkjihoonedit #parkjihoonbirtday #happybirthday #hb #jihoon #jihoonie #jihoonedit #wannaone #weakheroclass1 #sieun #kdrama #kpop #w1 #viral #fyp ",28/05/2025,"parkjihoon, parkjihoon, parkjihoonedit, parkjihoonbirtday, happybirthday, hb, jihoon, jihoonie, jihoonedit, wannaone, weakheroclass1, sieun, kdrama, kpop, w1, viral, fyp",6133,@0529.jihoon.official,406,211300,8231,55500
"Our relationship and marriage have been far from picture perfect. I keep seeing posts saying “if marriage is hard, you probably married the wrong person” but I don’t believe that’s true. Especially not for the believer. I’ll always believe that kingdom-enhancing marriages are one of the enemy’s number one targets. If your marriage has the power to reflect Christ’s love, to serve others, to raise disciples, of course it’ll face attack. Marriage is meant to be sanctifying. It’s meant to make us holy, not just happy. Do I believe God desires harmony in marriage? Absolutely. But Garrett and I started dating at 18… and we were messy, messy humans. We still are. Now we’re just messy humans who’ve walked with Jesus seven years longer. Messy humans who’ve been discipled, who’ve met the Holy Spirit, who’ve gone to counseling, who’ve grown and matured and learned how to love more selflessly and sacrificially. Our marriage was never meant to be the source of our fulfillment. Garrett’s job isn’t to fill my soul. Should he pursue my heart? Yes. But should I depend on him to complete me? Absolutely not. And vice versa. It’s not my job to complete Garrett either. We’ve screamed. We’ve fought. We even had the cops called on us in the first three months of marriage because of how loud we were arguing. Not proud, just keeping it real. But the Lord has called us into union, and He’s faithful to finish what He started. So to the young married couple stuck in the trenches, figuring each other out while also figuring yourself out, your marriage isn’t broken. You didn’t choose wrong. God didn’t mess up. Keep seeking the cross. Die to yourself. Admit when you’re wrong. Invite community in. Get the help you need. Pray for your spouse more than you complain about them to your friends. Pray for your spouse more than you nag them. Test God on it. Pray, pray, pray fervently for your spouse and your marriage. Watch Him move. And please hear me. This does not apply to abusive relationships, mentally or physically. That is not okay. Get help. Your safety matters.  #momsoftiktok #christiantiktok #christianity #christiangirl #christiantok #christianrelationships #followingjesus #marriage #marriedyoung #marriedlife #marriagegoals #couplestiktok ",28/05/2025,"momsoftiktok, christiantiktok, christianity, christiangirl, christiantok, christianrelationships, followingjesus, marriage, marriedyoung, marriedlife, marriagegoals, couplestiktok",211,,70,43800,373,7546
" Shiva is not just a god; He is a state of being—conscious, blissful, and eternal.  On this sacred night, seek Shiva’s blessings for a bright and successful future! Har Har Mahadev!  #fyp #saryuriver #ayodhya #jaishreeram # #goodnight ",28/05/2025,"fyp, saryuriver, ayodhya, jaishreeram, goodnight",133,,147,105900,429,7260
List of my makeup products: - Hydrating primer from @Maybelline NY  - ⁠Color corrector from @NARS Cosmetics [Shade: Magic Hour] - Double wear Foundation from @Estée Lauder [Shade: 4N2 - Spiced Sand] - Creamy concealer from the brand: @NARS and bought from the store: @ARC Store [Shade: Biscuit] - ⁠Contour Stick from @Fenty Beauty [Shade: Truffle 04] - ⁠Liquid Blush from @SHEGLAM [Shade: Devoted] - Loose powder from @yardleylondonsa [Shade: Medium Beige] - Setting spray (fix +) from @maccosmetics  #eczema #eczemalife #pigmentation #colorcorrector,28/05/2025,"eczema, eczemalife, pigmentation, colorcorrector",29,"@Maybelline NY, @NARS Cosmetics, @Estée Lauder, @ARC Store, @Fenty Beauty, @SHEGLAM, @maccosmetics",24,48600,126,2720
I’m not shaming any groomers this is just a funny video! 1. It was the goomers first day 2. Hes not matted he has very curly hair and it looks more fluffy because it was brushed. He is groomed every 2 months.  3.he was left like this for one day. Was taken to another local groomer and was taken care of no problem 4.hes a service dog and not aggressive whatsoever. He’s the best dog we have ever had ,13/05/2025,,483400,,6201,13400000,87500,2200000
"Field Notes – Entry #210 Location: Edge of the ornamental pond, Marrow Gardens, late afternoon after rain Species: Rosarachne praenobilis I spotted it poised atop a single slender stem, a striking sight even among the lush border plantings. At first glance it appeared to be an elaborate blossom: wide lavender petals opening outward, crowned by a dense, tightly furled rosebud at the center. Only on closer inspection did the deception reveal itself—the outer petals were genuine enough, but peeking just beneath the central bloom were thin, jointed legs, delicate and crablike, anchoring the creature to its perch. The central rosebud quivered, then pulsed. In a strange, swift sequence, the petals pulled inward, wrapping the heart of the flower tight again, as though bracing against some invisible threat. Just as suddenly, it unfurled—this time wider, more triumphant, the deeper pink core bursting open in layered spirals of silken petal. Somewhere hidden within, beneath the folds of the bloom, the creature’s true head remained unseen—sheathed inside its living disguise. The limbs never retreated, remaining visible under the opened flower, subtle and alert. Among the local horticulturists, Rosarachne praenobilis is known as “the Keeper’s Bloom.” An old story claims these creatures once guarded sacred ponds, ensuring only the deserving could reach the waters. Watching it now, perfectly balanced between stillness and bloom, it is not hard to believe. . More at @oleg.pars . #pokemon #aiartcommunity #vfx #ai #impossible #plantsvszombies #pvz #camping #mantis #bloom #morning #impossiblecreatures #natgeo #nationalgeographic #handcam #fakemon #aiartists #shock #stablediffusion #olegpars #digitalart #midjourneyart #creativecoding  #reportage #storytelling #midjourneygallery #artoftheday #conceptart ",29/04/2025,"210, pokemon, aiartcommunity, vfx, ai, impossible, plantsvszombies, pvz, camping, mantis, bloom, morning, impossiblecreatures, natgeo, nationalgeographic, handcam, fakemon, aiartists, shock, stablediffusion, olegpars, digitalart, midjourneyart, creativecoding, reportage, storytelling, midjourneygallery, artoftheday, conceptart",158300,,6975,7300000,40200,347000
"If you know me no you don’t, please just scroll #exhausted ",02/11/2022,exhausted,20900,,2067,3300000,80300,384900
"We tried Lulu because her seller told me she had a pony that might be a good fit for Teagan, but she didn’t have a finished lead change. That’s all we knew before we met her.  We showed up not knowing what the pony looked like, whether it was a mare or gelding, its age, or anything else. But when Taegan got on, she was more relaxed than she had been on a pony in a while. She wasn’t her favorite pony we tried, but every one of my friends who watched the videos that day said she just looked so comfortable.  They did a few jumps, just in a warmup ring, and off the right lead they disagreed on a distance… not once, not twice… but 3 times! What did Lulu do? She kept saying “that’s okay, we can do it kid!” And went over every time.  Taegan is 7. She is going to make many mistakes as she learns. Not every small pony will jump your kid out of a sticky situation at a 2’3” oxer, but this one will, and we are so lucky she’s ours. ",29/05/2025,,14,,22,34400,51,3860
Chase Atlantic>>> #fyp #lyrics #relatable #foryou ,20/03/2024,"fyp, lyrics, relatable, foryou",2479,,525,1600000,38600,277600
please pray for baby #baby not cry #chest physiotherapy #newborn #babylover #this is not unethical just for baby #chest #newborn ,18/03/2025,"baby, chest, newborn, babylover, this, chest, newborn",116300,,60200,94200000,79200,1300000
"details ⤵️ outfit from @Women‘s Best | dc: « coralie » just exercises to prioritize : FOR SNATCHED WAIST / FLAT STOMACH: • if you need to lose fat: slight caloric deficit • to have a smaller waist, prioritize CORE workout rather than crunches = deep abs • genetics is also an important point (if you gain fat easily in this area or not) FOR SIX PACK ABS : • if you need to lose fat: slight caloric deficit • focus on crunches to work the rectus abdominis = superficial abs • genetics is also an important point (if you gain fat easily in this area or not) The shape of your abs is also due to your genetics SOOOO : • one will work more on the rectus abdominis (superficial abs aka ""six pack"") = crunch type exercises • the other will target the deep muscles of your abdominal strap (mainly the deep muscles like the transverse) = deep core exercises we can of course work on both + genetics and your lifestyle will have a big impact :)  And you what's your goal ? #core #coreworkout #snatchedwaist #gymtips #gymgirl #fitnessmotivation #abworkout",12/05/2025,"core, coreworkout, snatchedwaist, gymtips, gymgirl, fitnessmotivation, abworkout",55300,@Women‘s Best,1122,8200000,421300,617400
"Bro did NOT like that   (ChatGPT core part 2) [THIS IS JUST A SKIT, I DID NOT GET BANNED] #trend #xyzbca #fyp #viral #zyxcba #chatgpt #trending #ai #chatgptcore #chatgptfunny #aicore",27/05/2025,"trend, xyzbca, fyp, viral, zyxcba, chatgpt, trending, ai, chatgptcore, chatgptfunny, aicore",79400,,3400,5500000,89700,789000
"ကိုယ်တွေတုန်း “Queen never cry” ဆိုပြီးစောင်းတင်တာမှတ်မိပေမယ့်…Please know that you're not alone. So many of us are standing with you, inspired by your bravery and your light. This is not the end — it’s just the beginning of a new, even more meaningful #missgrandinternational2024 #resign #missgrandinternational #missgrandindia #rachelgupta #missgrandindia2024 #resgination#dethrone #feedapageantry #rachelgupta ",29/05/2025,"missgrandinternational2024, resign, missgrandinternational, missgrandindia, rachelgupta, missgrandindia2024, resgination, dethrone, feedapageantry, rachelgupta",235,,138,159700,365,13600
Reve*ge ideas from a lawyer that won’t get you arrested… Probably #petty #thisisnotlegaladvice #justjokesfolks #dating #datingadviceforwomen #breakups #breakupadvice #relationshiptok #relationships #relationshipadvice #probably,18/01/2025,"petty, thisisnotlegaladvice, justjokesfolks, dating, datingadviceforwomen, breakups, breakupadvice, relationshiptok, relationships, relationshipadvice, probably",75600,,10200,3300000,37500,351200
for everyone in the comments its not about me its just in general <33 @# #fyp #foryoupage #foryou #relatable #relapsing #sorr ,06/03/2025,"fyp, foryoupage, foryou, relatable, relapsing, sorr",15200,@#,4617,6000000,106100,1100000
"What’s left when your hands forget how to make? Deep in the gnarled spine of northern Romania, where the air smells of fir resin and time is measured by the rhythm of tools on timber, old men still coax life out of wood with nothing but a blade, their knees, and a prayer. It’s not for beauty—they’ll tell you, chuckling like men who’ve danced with storms—it’s for the roof over your head, the roof over God’s head. Each shingle, split with monk-like patience, shaped with a knife kissed by callus and conviction, is a sliver of soul offered to shelter. This is a craft born not from manuals, but from watching your grandfather’s knuckles bleed in the frost, from understanding how a linden plank yields only when spoken to with reverence. The knife—held in two hands like a communion chalice—doesn’t just slice; it converses with the grain, persuades, seduces. Every motion a negotiation with nature, every curl of wood a verse of an unwritten poem. Machines could do it faster, yes. But this? This is about rhythm, not result. It’s about loving your labor so fiercely, so irrationally, that you’d rather grow old with it than get rich without it. What do we lose when we stop making things with our hands? When our roofs are no longer born from sweat but from sterile factories? In these shingles lie secrets and sorrow, storm-warnings and lullabies. They don’t just protect—they witness. Who taught us to worship efficiency over essence? And when did we forget that the soul, too, is carved with a blade and shaped with both hands? Video by @Florin Moldovan  [ Romanian Crafts, Bucovina Traditions, Wooden Shingles, Heritage Roofing, Rural Artisans, Manual Craftsmanship, Woodworking Traditions, Carved Roofs, Village Life, Timber Culture, Folk Architecture, Carpentry Skills, Old Techniques, Hands-On Heritage, Craftsmanship Legacy, Traditional Skills, Carpathian Villages, Ancestral Tools, Romanian Folklore, Slow Living ] #romania #travel #craftsmanship #villagelife",29/05/2025,"romania, travel, craftsmanship, villagelife",36,@Florin Moldovan,20,175100,117,1344
this. ,16/10/2024,,10100,,1372,1100000,39900,212100
"You call me ‘Teacher’ and ‘Lord,’ and rightly so, for that is what I am. 14 Now that I, your Lord and Teacher, have washed your feet, you also should wash one another’s feet. 15 I have set you an example that you should do as I have done for you. 16 Very truly I tell you, no servant is greater than his master,nor is a messenger greater than the one who sent him. John 13:13-15 It was very important to me that the glory of God be shown in my wedding and the Holy Spirit put it on my heart years ago to perform foot washing during my ceremony.  While this may seem strange to some, it is significant to others, because it’s an example of the humility Jesus showed to his disciples, and the example He sets for us. To honor one another and serve one another. Not just in marriage, but as followers of Christ.  Our marriage will be built on the foundation of service. An important distinction I wanted to highlight during my wedding day. Being cute and not getting my wedding dress dirty wasn’t as important to me as actively showcasing that at the altar I died to myself and became even more of a servant to God and now to my husband (as to each other).  Videography: @Jakobe Petitdo   #weddingday #christiantiktok #christianmarriage #footwashing #footwashingceremony #lovelikejesus ",28/05/2025,"weddingday, christiantiktok, christianmarriage, footwashing, footwashingceremony, lovelikejesus",2442,@Jakobe Petitdo,104,208700,3840,42400
someone i dont get to keep.            #fyp #cinema #cinematic #cinematok #film #filmtok #fypシ #elizabethcole #breakup #valentinesday @lenakarla ,15/02/2023,"fyp, cinema, cinematic, cinematok, film, filmtok, fypシ, elizabethcole, breakup, valentinesday",43000,@lenakarla,1911,5100000,172700,727000
It was amazing! #chocolate #bigdaddy @Marks & Spencer ,27/05/2025,"chocolate, bigdaddy",71,@Marks & Spencer,121,102400,81,1497
"uk girlies, what snacks do I have to try?  #groceryhaul #marksandspencer #marksandspencerfood #shopwithme #snackhaul #groceryshopping #ukfood #britishfood  ",28/05/2025,"groceryhaul, marksandspencer, marksandspencerfood, shopwithme, snackhaul, groceryshopping, ukfood, britishfood",2,,19,18800,15,1038
A quick trip to @Marks & Spencer #mands #marksandspencer #clothes #clothing #shop #shopping  @Annabelle Victoria ,25/05/2025,"mands, marksandspencer, clothes, clothing, shop, shopping",5,"@Marks & Spencer, @Annabelle Victoria",40,26300,35,596
M&S new in try on haul ft Jackie  #tryonhaul #tryon #clothing #clothinghaul #shoppinghaul #marksandspencer #mandshaul #mandsclothing #outfitinspo #fashioninspiration @Marks & Spencer ,20/05/2025,"tryonhaul, tryon, clothing, clothinghaul, shoppinghaul, marksandspencer, mandshaul, mandsclothing, outfitinspo, fashioninspiration",56,@Marks & Spencer,123,45400,23,1996
Sort it out  @M&S food UK official  #plantkitchen #mands #marksandspencer ,28/05/2025,"plantkitchen, mands, marksandspencer",26,@M&S food UK official,151,24200,13,981
"I can promise u this is not just  a viral trend for me, this will go into regular rotation !!!! SO GOOD  #healthymeals #healthylunch #mealprep #viral #picklewich #summermeals",29/05/2025,"healthymeals, healthylunch, mealprep, viral, picklewich, summermeals",2195,,115,138600,4855,10700
and I'm so proud to be his mama #bain #type1 #type1diabetes #type1warrior #type1kiddos #type1mom #toddlerdiabetic #diapersanddiabetes #boymom #t1dlife #type1diabetesawareness #type1strong #type1diabetic #t1dtoddler #toddlermom #typeonestrong #typeonediabetic #slpsoftiktok ,29/05/2025,"bain, type1, type1diabetes, type1warrior, type1kiddos, type1mom, toddlerdiabetic, diapersanddiabetes, boymom, t1dlife, type1diabetesawareness, type1strong, type1diabetic, t1dtoddler, toddlermom, typeonestrong, typeonediabetic, slpsoftiktok",5,,62,9698,11,1006
